acc,cluster_id
UniRef90_A0A011NM47,58
UniRef90_A0A011PDG3,58
UniRef90_A0A011Q8Y6,108
UniRef90_A0A011QP72,58
UniRef90_A0A011TYX9,170
UniRef90_A0A011U159,77
UniRef90_A0A011U5C4,75
UniRef90_A0A014NQZ6,84
UniRef90_A0A014PV18,290
UniRef90_A0A017HRA6,75
UniRef90_A0A017RSY8,302
UniRef90_A0A017RUC5,226
UniRef90_A0A021VN17,170
UniRef90_A0A022KXP2,170
UniRef90_A0A022LNX8,170
UniRef90_A0A023BPJ2,228
UniRef90_A0A023BSU6,76
UniRef90_A0A023BXU4,46
UniRef90_A0A023D487,75
UniRef90_A0A023DXS2,304
UniRef90_A0A023DXT2,133
UniRef90_A0A023RMJ9,94
UniRef90_A0A023WTR5,33
UniRef90_A0A023X4G2,37
UniRef90_A0A024HDA4,33
UniRef90_A0A024JSY7,170
UniRef90_A0A024KDH8,88
UniRef90_A0A024QHL5,108
UniRef90_A0A031FWL0,170
UniRef90_A0A031K3P7,62
UniRef90_A0A031M1P2,178
UniRef90_A0A031MIG7,60
UniRef90_A0A031WAY7,302
UniRef90_A0A034TWY3,219
UniRef90_A0A037Z2S9,302
UniRef90_A0A037Z7G1,55
UniRef90_A0A058ZHX1,75
UniRef90_A0A059DQ89,112
UniRef90_A0A059E522,112
UniRef90_A0A059FVF5,62
UniRef90_A0A059ITL7,75
UniRef90_A0A059WJP2,197
UniRef90_A0A059X0K9,197
UniRef90_A0A059X239,197
UniRef90_A0A059X419,197
UniRef90_A0A059X595,197
UniRef90_A0A059X7F2,197
UniRef90_A0A059X8F2,197
UniRef90_A0A059X8W8,197
UniRef90_A0A059XAH9,197
UniRef90_A0A059XQA7,139
UniRef90_A0A060JLC3,170
UniRef90_A0A060LRL3,108
UniRef90_A0A060NIJ2,178
UniRef90_A0A060NIM1,59
UniRef90_A0A060NZR3,59
UniRef90_A0A060Q0R8,279
UniRef90_A0A060QDY8,75
UniRef90_A0A060RC83,209
UniRef90_A0A061AD73,108
UniRef90_A0A061JHT8,133
UniRef90_A0A061JSF8,33
UniRef90_A0A061NXW8,108
UniRef90_A0A061Q937,62
UniRef90_A0A062V9L3,62
UniRef90_A0A062VBX9,112
UniRef90_A0A062VY71,170
UniRef90_A0A062XAX1,108
UniRef90_A0A062XD48,108
UniRef90_A0A062XX70,37
UniRef90_A0A063BEH3,59
UniRef90_A0A063Y9W8,33
UniRef90_A0A063YJ15,84
UniRef90_A0A066TB04,178
UniRef90_A0A066UTW9,219
UniRef90_A0A066WWP7,26
UniRef90_A0A068DWP7,76
UniRef90_A0A068NIS1,37
UniRef90_A0A068R974,290
UniRef90_A0A068T240,252
UniRef90_A0A068YTU0,178
UniRef90_A0A068Z1H5,45
UniRef90_A0A069CRX3,108
UniRef90_A0A069D125,83
UniRef90_A0A069RJ82,302
UniRef90_A0A071LBZ5,275
UniRef90_A0A071M1E2,290
UniRef90_A0A072NFY1,108
UniRef90_A0A073A879,37
UniRef90_A0A073B1U9,170
UniRef90_A0A073CN18,15
UniRef90_A0A073IUF4,128
UniRef90_A0A073JNH4,108
UniRef90_A0A074JQU3,61
UniRef90_A0A074JRH6,61
UniRef90_A0A074K6F2,61
UniRef90_A0A074KXQ4,22
UniRef90_A0A074L557,108
UniRef90_A0A074L8P1,27
UniRef90_A0A074LHM0,108
UniRef90_A0A074M723,62
UniRef90_A0A074MBV9,62
UniRef90_A0A074QP52,170
UniRef90_A0A075G0X6,37
UniRef90_A0A075JEP1,170
UniRef90_A0A075K7H0,128
UniRef90_A0A075R052,108
UniRef90_A0A075R3U8,27
UniRef90_A0A075RFG2,76
UniRef90_A0A075TQ92,128
UniRef90_A0A075U0I7,108
UniRef90_A0A075V0V1,170
UniRef90_A0A075WUW4,114
UniRef90_A0A076FBV4,275
UniRef90_A0A076HAX7,15
UniRef90_A0A076JM41,38
UniRef90_A0A076JWG8,61
UniRef90_A0A076K089,47
UniRef90_A0A076K7P2,75
UniRef90_A0A076MP57,170
UniRef90_A0A076NHC1,128
UniRef90_A0A076PG59,105
UniRef90_A0A077AWS3,133
UniRef90_A0A077AXP9,62
UniRef90_A0A077C0G2,62
UniRef90_A0A077DJU7,139
UniRef90_A0A077FK72,62
UniRef90_A0A077HJ49,128
UniRef90_A0A077J7L8,108
UniRef90_A0A077JHD6,15
UniRef90_A0A077LQ15,33
UniRef90_A0A077LU99,170
UniRef90_A0A077MD14,170
UniRef90_A0A077QHU1,178
UniRef90_A0A078KLJ2,116
UniRef90_A0A078L0W9,138
UniRef90_A0A078M971,108
UniRef90_A0A078MN98,60
UniRef90_A0A078MRL5,38
UniRef90_A0A078PKT1,74
UniRef90_A0A080MBS3,58
UniRef90_A0A080N3C0,38
UniRef90_A0A081BFF2,75
UniRef90_A0A081BJC2,108
UniRef90_A0A081BSD1,37
UniRef90_A0A081C335,37
UniRef90_A0A081FUP3,178
UniRef90_A0A081G0D4,33
UniRef90_A0A081NHE2,81
UniRef90_A0A081NTN9,27
UniRef90_A0A081NVM9,27
UniRef90_A0A081XX02,38
UniRef90_A0A084A1H0,290
UniRef90_A0A084EV77,121
UniRef90_A0A084EWQ9,118
UniRef90_A0A084GQ82,108
UniRef90_A0A084J8A7,302
UniRef90_A0A084TNR3,76
UniRef90_A0A084ZTU4,124
UniRef90_A0A085C002,61
UniRef90_A0A085EGP9,76
UniRef90_A0A085EJF0,26
UniRef90_A0A085G3J8,290
UniRef90_A0A085GMG9,290
UniRef90_A0A085HCL8,290
UniRef90_A0A085JL56,290
UniRef90_A0A085K019,62
UniRef90_A0A085L384,76
UniRef90_A0A085L4G7,26
UniRef90_A0A085TRW9,75
UniRef90_A0A085U6N0,290
UniRef90_A0A085V438,33
UniRef90_A0A085ZLB9,26
UniRef90_A0A086ANM4,26
UniRef90_A0A086BKT3,63
UniRef90_A0A086D716,178
UniRef90_A0A086D7L4,33
UniRef90_A0A086XT23,75
UniRef90_A0A086Y8T4,174
UniRef90_A0A086Z207,38
UniRef90_A0A086ZES6,38
UniRef90_A0A086ZJ21,38
UniRef90_A0A087AAZ7,38
UniRef90_A0A087AG77,38
UniRef90_A0A087ANW0,38
UniRef90_A0A087AV99,38
UniRef90_A0A087AWN0,38
UniRef90_A0A087BB50,38
UniRef90_A0A087BGI8,38
UniRef90_A0A087BMB2,38
UniRef90_A0A087C0D1,38
UniRef90_A0A087CFN2,38
UniRef90_A0A087CPZ7,38
UniRef90_A0A087D467,38
UniRef90_A0A087D9C5,38
UniRef90_A0A087DT62,38
UniRef90_A0A087E610,38
UniRef90_A0A087E7Y5,38
UniRef90_A0A087ECK7,38
UniRef90_A0A087ED45,38
UniRef90_A0A087ENT9,108
UniRef90_A0A087L0W6,290
UniRef90_A0A087N426,108
UniRef90_A0A087VVV2,38
UniRef90_A0A088EWV5,209
UniRef90_A0A088MYH9,178
UniRef90_A0A088QE89,128
UniRef90_A0A088RD24,166
UniRef90_A0A088RFI8,97
UniRef90_A0A088T1Q7,108
UniRef90_A0A089HQE7,27
UniRef90_A0A089NF50,27
UniRef90_A0A089X7R6,38
UniRef90_A0A090AFU4,178
UniRef90_A0A090AJI6,178
UniRef90_A0A090CZ40,138
UniRef90_A0A090F3Z9,77
UniRef90_A0A090HX35,302
UniRef90_A0A090IEU5,121
UniRef90_A0A090IL00,102
UniRef90_A0A090INI2,219
UniRef90_A0A090IPJ1,108
UniRef90_A0A090RKZ1,219
UniRef90_A0A090S4A9,219
UniRef90_A0A090SZG2,219
UniRef90_A0A090V6C4,124
UniRef90_A0A090VS11,26
UniRef90_A0A090VXZ4,76
UniRef90_A0A090WA24,26
UniRef90_A0A090ZT17,42
UniRef90_A0A091APS1,178
UniRef90_A0A091B8W2,2
UniRef90_A0A091FCX8,19
UniRef90_A0A091FFW5,62
UniRef90_A0A093R7X2,45
UniRef90_A0A094IIH9,108
UniRef90_A0A094IKV0,121
UniRef90_A0A094ISC2,121
UniRef90_A0A094J9D5,60
UniRef90_A0A094JFQ2,60
UniRef90_A0A094JWT4,264
UniRef90_A0A094P4K9,37
UniRef90_A0A094PI39,170
UniRef90_A0A094PUZ0,170
UniRef90_A0A094Q1M0,37
UniRef90_A0A094R0A0,170
UniRef90_A0A094S118,170
UniRef90_A0A094SS42,170
UniRef90_A0A094XHT1,108
UniRef90_A0A095V0T7,290
UniRef90_A0A095VM27,121
UniRef90_A0A095VMX3,2
UniRef90_A0A095WPY5,170
UniRef90_A0A095WXC8,170
UniRef90_A0A095XBG3,302
UniRef90_A0A095XGH9,302
UniRef90_A0A095XQ08,128
UniRef90_A0A095Y2C0,278
UniRef90_A0A095YBR5,38
UniRef90_A0A095YHH1,128
UniRef90_A0A095Z1J3,139
UniRef90_A0A095ZBU3,38
UniRef90_A0A095ZL29,278
UniRef90_A0A095ZQ43,302
UniRef90_A0A096A9B4,128
UniRef90_A0A096CBC1,278
UniRef90_A0A096CM25,128
UniRef90_A0A096LLK6,52
UniRef90_A0A097AQ02,42
UniRef90_A0A097EHB9,62
UniRef90_A0A097IDS0,128
UniRef90_A0A097SSF9,25
UniRef90_A0A098BJE4,170
UniRef90_A0A098C0Q8,74
UniRef90_A0A098C3R4,76
UniRef90_A0A098CRB5,108
UniRef90_A0A098GCP7,178
UniRef90_A0A098LIX0,209
UniRef90_A0A098QT05,166
UniRef90_A0A098QV40,97
UniRef90_A0A098RBV2,33
UniRef90_A0A098S4S6,76
UniRef90_A0A098SSY8,33
UniRef90_A0A098TIW2,15
UniRef90_A0A098Y9U0,170
UniRef90_A0A099BXQ8,278
UniRef90_A0A099D9F1,170
UniRef90_A0A099FER9,75
UniRef90_A0A099IB40,108
UniRef90_A0A099KHT9,121
UniRef90_A0A099KIJ0,102
UniRef90_A0A099KXC8,121
UniRef90_A0A099LRF0,219
UniRef90_A0A099PEE3,33
UniRef90_A0A099RPN2,302
UniRef90_A0A099TZ33,275
UniRef90_A0A099VZ42,108
UniRef90_A0A099X108,278
UniRef90_A0A099Y7H5,108
UniRef90_A0A0A0B485,170
UniRef90_A0A0A0BL77,170
UniRef90_A0A0A0BMH9,178
UniRef90_A0A0A0C303,170
UniRef90_A0A0A0CBB6,170
UniRef90_A0A0A0D9M2,62
UniRef90_A0A0A0DU64,139
UniRef90_A0A0A0DX87,43
UniRef90_A0A0A0E1J9,166
UniRef90_A0A0A0EE88,75
UniRef90_A0A0A0EL43,178
UniRef90_A0A0A0J7X7,170
UniRef90_A0A0A0J9F8,170
UniRef90_A0A0A0JGC3,170
UniRef90_A0A0A0K5D8,170
UniRef90_A0A0A0X2Q6,166
UniRef90_A0A0A1DQL3,170
UniRef90_A0A0A1GW84,108
UniRef90_A0A0A1H9S7,178
UniRef90_A0A0A1SFA0,302
UniRef90_A0A0A1VFW3,178
UniRef90_A0A0A2DLV5,76
UniRef90_A0A0A2DPR3,128
UniRef90_A0A0A2DRB3,278
UniRef90_A0A0A2E5G9,76
UniRef90_A0A0A2F0A2,76
UniRef90_A0A0A2G9D7,76
UniRef90_A0A0A2HCV5,76
UniRef90_A0A0A2MPV5,76
UniRef90_A0A0A2SLW4,108
UniRef90_A0A0A2SRW0,178
UniRef90_A0A0A2TTA9,108
UniRef90_A0A0A2WU21,132
UniRef90_A0A0A3AJQ0,178
UniRef90_A0A0A3ANH5,178
UniRef90_A0A0A3IPS2,108
UniRef90_A0A0A3J4K3,108
UniRef90_A0A0A5GGR4,108
UniRef90_A0A0A5HP44,108
UniRef90_A0A0A5UE70,290
UniRef90_A0A0A6QM27,219
UniRef90_A0A0A6Y0B5,108
UniRef90_A0A0A7ECX7,121
UniRef90_A0A0A7I6B5,38
UniRef90_A0A0A7KD33,132
UniRef90_A0A0A7S2Y4,178
UniRef90_A0A0A8B4B0,37
UniRef90_A0A0A8EE08,178
UniRef90_A0A0A8H0H9,275
UniRef90_A0A0A8JEZ1,108
UniRef90_A0A0A8QUU3,170
UniRef90_A0A0A8WW32,62
UniRef90_A0A0B0BTU8,209
UniRef90_A0A0B0DBX6,38
UniRef90_A0A0B0EKM7,268
UniRef90_A0A0B0EMN4,110
UniRef90_A0A0B0HB52,178
UniRef90_A0A0B2ABB7,170
UniRef90_A0A0B2APZ1,38
UniRef90_A0A0B2C1P8,62
UniRef90_A0A0B2FDC6,165
UniRef90_A0A0B2JL72,231
UniRef90_A0A0B2JMB1,128
UniRef90_A0A0B2JRJ2,151
UniRef90_A0A0B2XP10,108
